PCONCODE,Con,Lab,LD,Brexit,Green,Ind,PC,Other,SNP
W07000049,5901,22662,599,1345,0,250,250,250,0
W07000058,14337,13702,941,0,0,250,250,250,0
S14000001,8341,11031,1693,0,0,250,250,250,15170
S14000002,18746,9143,2610,0,0,250,250,250,13994
S14000003,8813,14096,802,0,0,250,250,250,14291
E14000530,26950,15477,3637,1796,1090,250,250,250,0
E14000531,26317,12010,1343,0,0,250,250,250,0
E14000532,26933,20507,4051,0,1000,250,250,250,0
W07000043,18080,23315,1077,1117,0,250,250,250,0
E14000533,25905,17605,1100,0,650,250,250,250,0
S14000004,18148,5233,1308,0,0,250,250,250,15503
W07000057,4614,11427,648,0,0,250,250,250,0
S14000005,15976,6044,8745,0,0,250,250,250,17304
E14000534,37573,13690,4783,1668,2542,250,250,250,0
E14000535,20844,21285,969,1885,398,250,250,250,0
E14000536,35318,17840,3101,2218,1402,250,250,250,0
E14000537,12710,24005,646,1878,534,250,250,250,0
E14000538,32313,17657,5660,1296,1237,250,250,250,0
S14000006,18550,11024,872,0,0,250,250,250,15776
E14000539,33388,20989,3452,1581,1225,250,250,250,0
S14000007,19976,3936,1448,0,0,250,250,250,16283
E14000540,10711,32319,599,3031,724,250,250,250,0
E14000541,9436,24982,549,3339,570,250,250,250,0
E14000542,10997,24280,750,3247,0,250,250,250,0
E14000543,22383,22592,1278,962,375,250,250,250,0
E14000544,27381,13981,1548,2008,0,250,250,250,0
E14000545,29510,20044,3406,1681,1106,250,250,250,0
E14000546,22615,27467,1154,0,0,250,250,250,0
E14000547,17742,7279,23436,0,1126,250,250,250,0
E14000548,20883,29844,1224,0,695,250,250,250,0
E14000549,22876,25292,4401,357,866,250,250,250,0
E14000550,36559,12016,4448,1609,1396,250,250,250,0
E14000551,30632,15545,4073,0,1380,250,250,250,0
E14000552,21923,22712,2837,0,1008,250,250,250,0
E14000553,7581,31161,18189,838,639,250,250,250,0
S14000008,28213,4519,2482,0,0,250,250,250,17153
E14000554,22145,10364,8916,0,787,250,250,250,0
E14000555,7576,42969,2982,894,1516,250,250,250,0
E14000556,32499,18457,2808,0,716,250,250,250,0
E14000557,36854,14689,4485,2006,1438,250,250,250,0
E14000558,25113,16040,1201,1944,601,250,250,250,0
E14000559,8044,33558,1118,0,943,250,250,250,0
E14000560,17207,24124,1564,0,562,250,250,250,0
E14000561,14286,21571,750,0,610,250,250,250,0
E14000562,8199,42143,3137,0,831,250,250,250,0
E14000563,6580,37606,805,1016,387,250,250,250,0
E14000564,5452,34166,1156,0,533,250,250,250,0
E14000565,18929,23596,959,0,864,250,250,250,0
E14000566,11726,30109,1080,0,591,250,250,250,0
E14000567,15629,30836,1644,0,876,250,250,250,0
E14000568,8824,25398,7984,1916,280,250,250,250,0
E14000569,20306,20808,1176,0,0,250,250,250,0
E14000570,12780,33148,709,0,0,250,250,250,0
E14000571,8657,28258,737,1825,462,250,250,250,0
E14000572,20255,18232,747,1392,381,250,250,250,0
E14000573,15058,17581,634,1339,341,250,250,250,0
W07000072,4783,18787,295,973,0,250,250,250,0
E14000574,13502,26979,4366,2459,583,250,250,250,0
E14000575,15855,23770,1947,0,918,250,250,250,0
E14000576,30276,12782,3352,1861,993,250,250,250,0
E14000577,18865,24153,1372,2129,0,250,250,250,0
E14000578,19073,22870,1316,1567,357,250,250,250,0
E14000579,12550,25676,781,2779,537,250,250,250,0
E14000580,24459,23523,1485,1587,0,250,250,250,0
E14000581,6059,42259,837,0,709,250,250,250,0
E14000582,27271,10699,771,3308,547,250,250,250,0
E14000583,31864,13513,9744,0,1047,250,250,250,0
E14000584,25221,17284,3168,1405,1236,250,250,250,0
E14000585,23812,16101,2929,0,1247,250,250,250,0
E14000586,32882,16866,4186,1521,0,250,250,250,0
E14000587,9291,29831,843,1372,289,250,250,250,0
E14000588,15664,22364,516,1758,370,250,250,250,0
E14000589,7542,29444,712,885,481,250,250,250,0
E14000590,32873,14451,2251,1835,916,250,250,250,0
W07000068,20081,7335,12043,576,0,250,250,250,0
E14000591,10211,38208,2519,556,802,250,250,250,0
E14000593,23182,35364,3083,0,0,250,250,250,0
E14000592,18435,35496,1614,0,660,250,250,250,0
E14000594,34811,10809,4426,1845,915,250,250,250,0
W07000073,17213,21913,919,781,0,250,250,250,0
E14000595,32111,16663,6332,2102,1059,250,250,250,0
E14000596,27219,14856,836,1596,550,250,250,250,0
E14000597,18835,28703,1457,0,0,250,250,250,0
E14000598,11082,15450,0,630,30149,250,250,250,0
E14000599,17453,30847,1389,0,1110,250,250,250,0
E14000600,22639,27400,2814,0,1243,250,250,250,0
E14000601,16679,32666,1821,1672,1428,250,250,250,0
E14000602,9877,47213,5201,0,9216,250,250,250,0
E14000603,32406,16590,4449,1594,932,250,250,250,0
E14000604,25175,15585,3369,1383,1150,250,250,250,0
E14000605,33493,16920,2488,0,1139,250,250,250,0
E14000606,29515,13723,1481,1918,848,250,250,250,0
E14000607,25983,25120,2247,1477,681,250,250,250,0
E14000608,0,0,0,4168,8574,250,250,250,0
E14000609,12479,18832,6046,2472,461,250,250,250,0
E14000610,28936,18889,1262,0,824,250,250,250,0
E14000611,21308,25683,912,0,0,250,250,250,0
E14000612,21200,27165,1065,1316,0,250,250,250,0
E14000613,36794,18353,3565,0,2596,250,250,250,0
W07000076,10413,22491,725,1259,447,250,250,250,0
S14000009,6990,3833,11061,0,0,250,250,250,9017
E14000614,26790,26181,1952,1466,631,250,250,250,0
E14000615,7349,44665,3413,0,1627,250,250,250,0
