"","PCONCODE","REGN"
"0","E14000530","South East"
"1","E14000531","West Midlands"
"2","E14000532","North West"
"3","E14000533","East Midlands"
"4","E14000534","South East"
"5","E14000535","East Midlands"
"6","E14000536","South East"
"7","E14000537","North West"
"8","E14000538","South East"
"9","E14000539","South East"
"10","E14000540","London"
"11","E14000541","Yorkshire and The Humber"
"12","E14000542","Yorkshire and The Humber"
"13","E14000543","North West"
"14","E14000544","East"
"15","E14000545","South East"
"16","E14000546","East Midlands"
"17","E14000547","South West"
"18","E14000548","Yorkshire and The Humber"
"19","E14000549","London"
"20","E14000550","South East"
"21","E14000551","London"
"22","E14000552","East"
"23","E14000553","London"
"24","E14000554","North East"
"25","E14000555","London"
"26","E14000556","Yorkshire and The Humber"
"27","E14000557","South East"
"28","E14000558","London"
"29","E14000559","North West"
"30","E14000560","West Midlands"
"31","E14000561","West Midlands"
"32","E14000562","West Midlands"
"33","E14000563","West Midlands"
"34","E14000564","West Midlands"
"35","E14000565","West Midlands"
"36","E14000566","West Midlands"
"37","E14000567","West Midlands"
"38","E14000568","West Midlands"
"39","E14000569","North East"
"40","E14000570","North West"
"41","E14000571","North West"
"42","E14000572","North West"
"43","E14000573","North West"
"44","E14000574","North East"
"45","E14000575","North East"
"46","E14000576","South East"
"47","E14000577","East Midlands"
"48","E14000578","North West"
"49","E14000579","North West"
"50","E14000580","North West"
"51","E14000581","North West"
"52","E14000582","East Midlands"
"53","E14000583","East Midlands"
"54","E14000584","South West"
"55","E14000585","South West"
"56","E14000586","South East"
"57","E14000587","Yorkshire and The Humber"
"58","E14000588","Yorkshire and The Humber"
"59","E14000589","Yorkshire and The Humber"
"60","E14000590","East"
"61","E14000591","London"
"62","E14000592","London"
"63","E14000593","London"
"64","E14000594","East"
"65","E14000595","South West"
"66","E14000596","Yorkshire and The Humber"
"67","E14000597","South East"
"68","E14000598","South East"
"69","E14000599","South West"
"70","E14000600","South West"
"71","E14000601","South West"
"72","E14000602","South West"
"73","E14000603","East"
"74","E14000604","London"
"75","E14000605","West Midlands"
"76","E14000606","East"
"77","E14000607","East Midlands"
"78","E14000608","South East"
"79","E14000609","North West"
"80","E14000610","West Midlands"
"81","E14000611","North West"
"82","E14000612","North West"
"83","E14000613","East"
"84","E14000614","Yorkshire and The Humber"
"85","E14000615","London"
"86","E14000616","South West"
"87","E14000617","East"
"88","E14000618","West Midlands"
"89","E14000619","South East"
"90","E14000620","North West"
"91","E14000621","London"
"92","E14000622","East"
"93","E14000623","South West"
"94","E14000624","East"
"95","E14000625","East Midlands"
"96","E14000626","South East"
"97","E14000627","North West"
"98","E14000628","East"
"99","E14000629","London"
"100","E14000630","South West"
"101","E14000631","South East"
"102","E14000632","East Midlands"
"103","E14000633","South East"
"104","E14000634","London"
"105","E14000635","South West"
"106","E14000636","London"
"107","E14000637","North West"
"108","E14000638","South West"
"109","E14000639","London"
"110","E14000640","North West"
"111","E14000641","North East"
"112","E14000642","East"
"113","E14000643","Yorkshire and The Humber"
"114","E14000644","East"
"115","E14000645","Yorkshire and The Humber"
"116","E14000646","North West"
"117","E14000647","North West"
"118","E14000648","East Midlands"
"119","E14000649","West Midlands"
"120","E14000650","West Midlands"
"121","E14000651","West Midlands"
"122","E14000652","South East"
"123","E14000653","North West"
"124","E14000654","London"
"125","E14000655","London"
"126","E14000656","London"
"127","E14000657","London"
"128","E14000658","North East"
"129","E14000659","South East"
"130","E14000660","East Midlands"
"131","E14000661","North West"
"132","E14000662","East Midlands"
"133","E14000663","East Midlands"
"134","E14000664","East Midlands"
"135","E14000665","South West"
"136","E14000666","Yorkshire and The Humber"
"137","E14000667","Yorkshire and The Humber"
"138","E14000668","Yorkshire and The Humber"
"139","E14000669","Yorkshire and The Humber"
"140","E14000670","South East"
"141","E14000671","West Midlands"
"142","E14000672","West Midlands"
"143","E14000673","London"
"144","E14000674","London"
"145","E14000675","London"
"146","E14000676","London"
"147","E14000677","North East"
"148","E14000678","South West"
"149","E14000679","London"
"150","E14000680","South East"
"151","E14000681","South East"
"152","E14000682","South East"
"153","E14000683","Yorkshire and The Humber"
"154","E14000684","South East"
"155","E14000685","South East"
"156","E14000686","North West"
"157","E14000687","London"
"158","E14000688","North West"
"159","E14000689","Yorkshire and The Humber"
"160","E14000690","London"
"161","E14000691","London"
"162","E14000692","London"
"163","E14000693","East"
"164","E14000694","South East"
"165","E14000695","East Midlands"
"166","E14000696","London"
"167","E14000697","South East"
"168","E14000698","South West"
"169","E14000699","South East"
"170","E14000700","South East"
"171","E14000701","London"
"172","E14000702","South West"
"173","E14000703","London"
"174","E14000704","South East"
"175","E14000705","South West"
"176","E14000706","North West"
"177","E14000707","East Midlands"
"178","E14000708","North West"
"179","E14000709","North East"
"180","E14000710","East Midlands"
"181","E14000711","South East"
"182","E14000712","South West"
"183","E14000713","South East"
"184","E14000714","East Midlands"
"185","E14000715","South East"
"186","E14000716","Yorkshire and The Humber"
"187","E14000717","East"
"188","E14000718","London"
"189","E14000719","South East"
"190","E14000720","London"
"191","E14000721","London"
"192","E14000722","West Midlands"
"193","E14000723","Yorkshire and The Humber"
"194","E14000724","Yorkshire and The Humber"
"195","E14000725","North West"
"196","E14000726","London"
"197","E14000727","London"
"198","E14000728","East Midlands"
"199","E14000729","East"
"200","E14000730","Yorkshire and The Humber"
"201","E14000731","London"
"202","E14000732","London"
"203","E14000733","North East"
"204","E14000734","East"
"205","E14000735","South East"
"206","E14000736","South East"
"207","E14000737","London"
"208","E14000738","North West"
"209","E14000739","East"
"210","E14000740","Yorkshire and The Humber"
"211","E14000741","London"
"212","E14000742","South East"
"213","E14000743","West Midlands"
"214","E14000744","East"
"215","E14000745","East"
"216","E14000746","North East"
"217","E14000747","North West"
"218","E14000748","East Midlands"
"219","E14000749","East"
"220","E14000750","London"
"221","E14000751","London"
"222","E14000752","London"
"223","E14000753","South East"
"224","E14000754","North East"
"225","E14000755","South East"
"226","E14000756","Yorkshire and The Humber"
"227","E14000757","East"
"228","E14000758","North West"
"229","E14000759","London"
"230","E14000760","London"
"231","E14000761","East"
"232","E14000762","South East"
"233","E14000763","London"
"234","E14000764","London"
"235","E14000765","North East"
"236","E14000766","Yorkshire and The Humber"
"237","E14000767","West Midlands"
"238","E14000768","London"
"239","E14000769","East Midlands"
"240","E14000770","London"
"241","E14000771","Yorkshire and The Humber"
"242","E14000772","Yorkshire and The Humber"
"243","E14000773","Yorkshire and The Humber"
"244","E14000774","South West"
"245","E14000775","North West"
"246","E14000776","North West"
"247","E14000777","Yorkshire and The Humber"
"248","E14000778","Yorkshire and The Humber"
"249","E14000779","Yorkshire and The Humber"
"250","E14000780","Yorkshire and The Humber"
"251","E14000781","Yorkshire and The Humber"
"252","E14000782","East Midlands"
"253","E14000783","East Midlands"
"254","E14000784","East Midlands"
"255","E14000785","North West"
"256","E14000786","South East"
"257","E14000787","London"
"258","E14000788","London"
"259","E14000789","London"
"260","E14000790","London"
"261","E14000791","West Midlands"
"262","E14000792","East Midlands"
"263","E14000793","North West"
"264","E14000794","North West"
"265","E14000795","North West"
"266","E14000796","North West"
"267","E14000797","East Midlands"
"268","E14000798","East Midlands"
"269","E14000799","West Midlands"
"270","E14000800","East"
"271","E14000801","East"
"272","E14000802","North West"
"273","E14000803","South East"
"274","E14000804","South East"
"275","E14000805","North West"
"276","E14000806","East"
"277","E14000807","North West"
"278","E14000808","North West"
"279","E14000809","North West"
"280","E14000810","East Midlands"
"281","E14000811","South East"
"282","E14000812","West Midlands"
"283","E14000813","East"
"284","E14000814","East Midlands"
"285","E14000815","South West"
"286","E14000816","East"
"287","E14000817","South East"
"288","E14000818","West Midlands"
"289","E14000819","North East"
"290","E14000820","North East"
"291","E14000821","South East"
"292","E14000822","South East"
"293","E14000823","London"
"294","E14000824","South East"
"295","E14000825","North West"
"296","E14000826","Yorkshire and The Humber"
"297","E14000827","South East"
"298","E14000828","South East"
"299","E14000829","East Midlands"
"300","E14000830","South East"
"301","E14000831","North East"
"302","E14000832","North East"
"303","E14000833","North East"
"304","E14000834","West Midlands"
"305","E14000835","South West"
"306","E14000836","Yorkshire and The Humber"
"307","E14000837","South West"
"308","E14000838","South West"
